Version	Class	Total	Coding
2018/12/17	All	 440084	332820
2019/03/25	All	 444715	336785
2019/09/23	All	500570	374147
2020/03/29	All	636796	489916
2020/09/27	All	775501	597946
2021/03/28	All	840341	656830
2021/09/29	All	1079418	775520
2022/03/28	All	1303082	972769
2022/09/24	All	1477231	1081540
2023/03/26	All	2121868	1647973
2018/12/17	Pathogenic	63155	56736
2019/03/25	Pathogenic	64948	58170
2019/09/23	Pathogenic	70395	63004
2020/03/29	Pathogenic	75483	67465
2020/09/27	Pathogenic	88350	79072
2021/03/28	Pathogenic	94804	84554
2021/09/29	Pathogenic	105368	94485
2022/03/28	Pathogenic	123821	111461
2022/09/24	Pathogenic	128736	115689
2023/03/26	Pathogenic	150702	136092
